User id	Error id	Message	Type	Line Number	Creation Time	Path	IP
uo227982	16777788	JComboBox is a raw type. References to generic type JComboBox<E> should be parameterized	WARNING	166	2013-09-20-04:51:23	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	16777788	JComboBox is a raw type. References to generic type JComboBox<E> should be parameterized	WARNING	168	2013-09-20-04:51:23	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	268435844	The import java.awt.BorderLayout is never used	WARNING	3	2013-09-20-04:52:33	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	16777788	JComboBox is a raw type. References to generic type JComboBox<E> should be parameterized	WARNING	36	2013-09-20-04:52:33	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	16777788	JComboBox is a raw type. References to generic type JComboBox<E> should be parameterized	WARNING	166	2013-09-20-04:52:33	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	16777788	JComboBox is a raw type. References to generic type JComboBox<E> should be parameterized	WARNING	168	2013-09-20-04:52:33	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	16777747	Type safety: The method setModel(ComboBoxModel) belongs to the raw type JComboBox. References to generic type JComboBox<E> should be parameterized	WARNING	169	2013-09-20-04:52:33	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	16777746	Type safety: The constructor DefaultComboBoxModel(Object[]) belongs to the raw type DefaultComboBoxModel. References to generic type DefaultComboBoxModel<E> should be parameterized	WARNING	169	2013-09-20-04:52:33	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	16777788	DefaultComboBoxModel is a raw type. References to generic type DefaultComboBoxModel<E> should be parameterized	WARNING	169	2013-09-20-04:52:33	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	268435844	The import java.awt.BorderLayout is never used	WARNING	3	2013-09-20-04:55:37	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	16777788	JComboBox is a raw type. References to generic type JComboBox<E> should be parameterized	WARNING	36	2013-09-20-04:55:37	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	16777788	JComboBox is a raw type. References to generic type JComboBox<E> should be parameterized	WARNING	167	2013-09-20-04:55:37	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	16777788	JComboBox is a raw type. References to generic type JComboBox<E> should be parameterized	WARNING	169	2013-09-20-04:55:37	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	16777747	Type safety: The method setModel(ComboBoxModel) belongs to the raw type JComboBox. References to generic type JComboBox<E> should be parameterized	WARNING	170	2013-09-20-04:55:37	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	16777746	Type safety: The constructor DefaultComboBoxModel(Object[]) belongs to the raw type DefaultComboBoxModel. References to generic type DefaultComboBoxModel<E> should be parameterized	WARNING	170	2013-09-20-04:55:37	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
uo227982	16777788	DefaultComboBoxModel is a raw type. References to generic type DefaultComboBoxModel<E> should be parameterized	WARNING	170	2013-09-20-04:55:37	C:/Users/uo227982/Desktop/practicas cpm/practica2/src/igu/VentanaRegistro.java	C:/Users/uo227982/Desktop/practicas cpm/practica2	192.168.63.228
